order,indices,coefficient
1,635,-1.1491696762979822E-4
1,522,-1.1441698088618636E-4
1,484,1.143190387584472E-4
1,670,1.1423849180733101E-4
1,615,-1.1383345487356509E-4
1,733,1.1383101659291259E-4
1,430,-1.1353636451728725E-4
1,66,-1.1311812308767495E-4
1,253,1.1304147130117215E-4
1,612,-1.1269398792617771E-4
1,119,1.126619559930604E-4
1,23,-1.1248812774103113E-4
1,535,-1.1245376300053689E-4
1,617,1.1204034528128176E-4
1,176,1.1181369079597741E-4
1,222,-1.1176332953871715E-4
1,95,-1.1162591625426995E-4
1,21,1.114823282600613E-4
1,642,1.1055202856774041E-4
1,857,-1.1020452258511941E-4
1,507,1.0997446660778549E-4
1,152,-1.0967800568702857E-4
1,707,1.090793928987382E-4
1,681,-1.0882382503808921E-4
1,812,-1.0851649204423679E-4
1,451,1.0797565705209217E-4
1,406,-1.0788588356640471E-4
1,999,1.0766634129222752E-4
1,593,1.073862357329422E-4
1,408,1.071119770001886E-4
1,969,1.0676842042271439E-4
1,376,-1.0671549710858342E-4
1,479,-1.0671439020054246E-4
1,297,-1.0664283097337793E-4
1,847,-1.0637534963961245E-4
1,831,-1.0613213003879171E-4
1,361,1.0601248454341836E-4
1,382,1.0536952595281834E-4
1,137,-1.0527256793965877E-4
1,702,-1.0517341291978727E-4
1,375,-1.0498215179369551E-4
1,324,1.0443018112248877E-4
1,706,1.0435931127488787E-4
1,109,-1.0434492082204202E-4
1,7,-1.0400692569631612E-4
1,871,1.0399399697485011E-4
1,456,1.0375414356376832E-4
1,459,1.036670734502411E-4
1,548,-1.0343569026240638E-4
1,778,1.029318773933168E-4
1,17,1.0280293183366517E-4
1,275,-1.0264654441860484E-4
1,761,-1.0213715450014757E-4
1,786,-1.0213423815763125E-4
1,508,-1.016822967331302E-4
1,214,1.0159948170809613E-4
1,49,-1.0157008834103465E-4
1,38,-1.0126999861594399E-4
1,846,1.0119435821008768E-4
1,976,-1.010444950665643E-4
1,93,1.0103359816728917E-4
1,192,-1.0099890741577507E-4
1,878,-1.0086750824836624E-4
1,811,-1.0065793406903231E-4
1,56,1.0055768075761733E-4
1,348,1.002292241731793E-4
1,902,9.993702932311153E-5
1,869,-9.935813112814424E-5
1,992,9.932636622913613E-5
1,464,-9.905109241562855E-5
1,159,-9.88702213902384E-5
1,912,9.88239015115193E-5
1,498,9.863576007552402E-5
1,323,9.85995398704895E-5
1,687,-9.829465734707161E-5
1,29,9.81263438523758E-5
1,565,-9.808485849347597E-5
1,540,9.79594260588334E-5
1,559,9.758100063664258E-5
1,166,-9.692713430641467E-5
1,454,-9.664628929262681E-5
1,603,-9.549817608222348E-5
1,248,9.548836291955146E-5
1,388,-9.531115374127791E-5
1,134,-9.502129889036336E-5
1,815,9.50180781749705E-5
1,108,9.500059195710603E-5
1,418,-9.48204752970465E-5
1,141,-9.480771181299031E-5
1,103,-9.449875361495468E-5
1,319,9.44943794285038E-5
1,513,9.440033661376699E-5
1,87,-9.424709837353869E-5
1,3,-9.355371625695399E-5
1,405,9.312392197427047E-5
1,752,-9.294287194371011E-5
1,932,9.278028634732257E-5
1,566,-9.253463850003109E-5
1,202,-9.206871628833552E-5
1,386,-9.163958227617145E-5
1,334,9.162252911546093E-5
1,209,-9.16040459828745E-5
1,28,9.153549971613186E-5
1,415,-9.109347248137545E-5
1,468,-9.108297688664346E-5
1,785,-9.080500855793521E-5
1,267,-9.055269080165444E-5
