order,indices,coefficient
1,844,1.7039893719222467E-4
1,205,-1.7016312224050326E-4
1,174,-1.6995150673669007E-4
1,616,-1.6950805221001769E-4
1,923,1.6928100914080353E-4
1,255,1.6908822075820495E-4
1,741,1.6895169063006025E-4
1,372,1.6868059342798413E-4
1,618,1.686507351229452E-4
1,456,1.6792088429157077E-4
1,26,1.678887619103775E-4
1,826,-1.678369136697343E-4
1,102,-1.6735184891391648E-4
1,782,-1.6717974595081993E-4
1,874,-1.669715632214117E-4
1,724,1.666644427252092E-4
1,680,1.6625666304663484E-4
1,365,1.6618740575652578E-4
1,101,1.6617023463842223E-4
1,842,1.657729321259019E-4
1,759,1.6571376406930317E-4
1,126,-1.6550631648140467E-4
1,312,1.6518565643552357E-4
1,941,-1.641339448247971E-4
1,392,1.6408366444639456E-4
1,962,1.6307601027329898E-4
1,304,-1.6286736480555723E-4
1,630,-1.6240780316390866E-4
1,661,1.6199213748433014E-4
1,819,-1.610402119062362E-4
1,676,1.6056671794830257E-4
1,415,-1.604935886572106E-4
1,791,1.6006684180123126E-4
1,753,1.600029507764628E-4
1,33,1.5997321719477586E-4
1,813,-1.5923796411735177E-4
1,738,1.587804188661091E-4
1,974,-1.582314075445026E-4
1,711,-1.5820947453235973E-4
1,213,-1.573804879867942E-4
1,468,-1.5697974090057433E-4
1,629,-1.5696825834054983E-4
1,864,1.568814240732462E-4
1,552,-1.5681951798459954E-4
1,479,1.564873716430291E-4
1,922,-1.5610054842389907E-4
1,785,1.5592252969020502E-4
1,559,-1.5485522242249136E-4
1,197,1.5459972188394645E-4
1,708,-1.54530361168366E-4
1,112,-1.5387148892739906E-4
1,852,-1.532935107214415E-4
1,843,1.5268231022004194E-4
1,836,-1.5231167316337324E-4
1,669,1.5173685143496919E-4
1,976,1.516313799727811E-4
1,530,1.5102250281899866E-4
1,643,-1.5092267460430444E-4
1,122,-1.5055343654759144E-4
1,961,1.504159371466724E-4
1,879,1.5036121079357338E-4
1,955,1.5011297300558394E-4
1,777,1.4925030920480021E-4
1,872,1.492110432711396E-4
1,17,1.4918079457868817E-4
1,446,-1.481980551918635E-4
1,637,1.4809990245051517E-4
1,809,1.4754301981687203E-4
1,802,-1.4721027549893938E-4
1,565,-1.4711544511229556E-4
1,230,-1.4700059766784736E-4
1,613,-1.4623391138942889E-4
1,168,-1.4534890485605676E-4
1,458,-1.4532800029225332E-4
1,202,1.4532112251042006E-4
1,509,1.4518913136866494E-4
1,159,1.4516703446201302E-4
1,858,1.4500974227008568E-4
1,727,1.4496219445018347E-4
1,686,-1.4460635759092587E-4
1,597,-1.4443590605444468E-4
1,930,1.4333883240868656E-4
1,297,-1.4248487429863182E-4
1,545,1.4231880769709928E-4
1,133,1.4134320339417777E-4
1,696,-1.4110491358875553E-4
1,716,1.4028460984306715E-4
1,546,-1.4027101797561386E-4
1,939,1.4026457885107395E-4
1,334,-1.3997809901343896E-4
1,381,1.398521729505604E-4
1,595,-1.3977946847030926E-4
1,793,-1.3970476137596433E-4
1,61,1.3937548922201111E-4
1,184,-1.3928311038346558E-4
1,774,1.3899398473921534E-4
1,386,1.389563331175494E-4
1,305,-1.383480510187735E-4
1,837,-1.382580649256008E-4
1,261,-1.375486684469846E-4
1,795,-1.3721412392939103E-4
1,986,1.3703995152494276E-4
1,243,1.363562647083048E-4
1,300,1.358192234202501E-4
1,158,-1.3560420266441164E-4
1,881,1.3512992985737754E-4
